127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001019
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001059
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001059
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001074
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/js/share.js, HTTP/1.1, 304, 0.001010
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/images/twitter.png, HTTP/1.1, 304, 0.001024
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/images/facebook.png, HTTP/1.1, 304, 0.001041
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/images/gplus-32.png, HTTP/1.1, 304, 0.001234
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.535132
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001061
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/js/jquery.js, HTTP/1.1, 304, 0.000996
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/css/calendar.css, HTTP/1.1, 304, 0.000958
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/js/web2py.js, HTTP/1.1, 304, 0.000373
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/js/calendar.js, HTTP/1.1, 304, 0.000880
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/css/web2py.css, HTTP/1.1, 304, 0.000950
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000952
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001033
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000441
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000928
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/js/share.js, HTTP/1.1, 304, 0.000965
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000896
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/images/twitter.png, HTTP/1.1, 304, 0.001049
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/images/facebook.png, HTTP/1.1, 304, 0.001012
127.0.0.1, 2013-07-10 12:51:06, GET, /codespert/static/images/gplus-32.png, HTTP/1.1, 304, 0.001101
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.112437
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/js/jquery.js, HTTP/1.1, 304, 0.000943
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.003288
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/css/web2py.css, HTTP/1.1, 304, 0.000928
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001003
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/js/web2py.js, HTTP/1.1, 304, 0.000968
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/js/calendar.js, HTTP/1.1, 304, 0.001685
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.010700
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000912
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000941
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/css/calendar.css, HTTP/1.1, 304, 0.018593
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.004860
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/js/share.js, HTTP/1.1, 304, 0.000984
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/images/twitter.png, HTTP/1.1, 304, 0.000973
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/images/facebook.png, HTTP/1.1, 304, 0.001280
127.0.0.1, 2013-07-10 12:52:16, GET, /codespert/static/images/gplus-32.png, HTTP/1.1, 304, 0.000965
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.551649
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000962
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/static/js/jquery.js, HTTP/1.1, 304, 0.000903
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/static/css/calendar.css, HTTP/1.1, 304, 0.000907
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/static/js/calendar.js, HTTP/1.1, 304, 0.000973
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/static/js/web2py.js, HTTP/1.1, 304, 0.000897
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/static/css/web2py.css, HTTP/1.1, 304, 0.000929
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000927
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000932
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000946
127.0.0.1, 2013-07-10 12:54:18, GET, /codespert/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001006
